source_file,sheet,source_column,raw_township,raw_state_region,suggested_canonical_township,suggested_canonical_state_region,confidence,match_type,row_count,reason,recommended_alias_mapping
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Pauk Khaung,BAGO WEST,Paukkhaung,Bago (West),98.0,Normalized Match,13,space/punctuation-insensitive match; multiple raw forms for same canonical: PAUK KHAUNG | Pauk Khaung | Paukkhaung | Phaukkhaung,"""Paukkhaung"": [""Pauk Khaung""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,BILIN,MON,Bilin,Mon,99.0,Normalized Match,12,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: BILIN | Bilin,"""Bilin"": [""BILIN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MUDON,MON,Mudon,Mon,99.0,Normalized Match,12,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MUDON | Mudon,"""Mudon"": [""MUDON""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,GYOBINGAUK,BAGO WEST,Gyobingauk,Bago (West),99.0,Normalized Match,11,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: GYOBINGAUK | Gyobingauk,"""Gyobingauk"": [""GYOBINGAUK""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Hmaw Bi,YANGON,Hmawbi,Yangon,98.0,Normalized Match,11,space/punctuation-insensitive match; multiple raw forms for same canonical: HMAWBI | Hmaw Bi | Hmawbi,"""Hmawbi"": [""Hmaw Bi""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUNGDE,BAGO WEST,Paungde,Bago (West),99.0,Normalized Match,10,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PAUNGDE | Paungde | Paungde ,"""Paungde"": [""PAUNGDE""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyain Seikgyi,KAYIN,Kyainseikgyi,Kayin,98.0,Normalized Match,9,space/punctuation-insensitive match; multiple raw forms for same canonical: Kyain Seikgyi | Kyainseikgyi | Kyarinseikgyi,"""Kyainseikgyi"": [""Kyain Seikgyi""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUNG,MON,Paung,Mon,99.0,Normalized Match,8,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PAUNG | Paung | Paung ,"""Paung"": [""PAUNG""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINHLA,BAGO WEST,Minhla,Bago (West),99.0,Normalized Match,7,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINHLA | Min Hla | MinHla | Minhla,"""Minhla"": [""MINHLA""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Myaung Mya,AYEYARWADDY,Myaungmya,Ayeyarwady,98.0,Normalized Match,6,space/punctuation-insensitive match; compact match but state mismatch or no canonical state match; raw state='AYEYARWADDY',"""Myaungmya"": [""Myaung Mya""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THANBYUZAYAT,MON,Thanbyuzayat,Mon,99.0,Normalized Match,6,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THANBYUZAYAT | Thanbyuzayat,"""Thanbyuzayat"": [""THANBYUZAYAT""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,ZALUN,AYEYARWADDY,Zalun,Ayeyarwady,99.0,Normalized Match,6,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: ZALUN | Zalun,"""Zalun"": [""ZALUN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DEDAYE,AYEYARWADDY,Dedaye,Ayeyarwady,99.0,Normalized Match,5,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: DEDAYE | Dedaye,"""Dedaye"": [""DEDAYE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINHLA,MAGWAY,Minhla,Magway,99.0,Normalized Match,5,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINHLA | Min Hla,"""Minhla"": [""MINHLA""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Aung Lan,MAGWAY,Aunglan,Magway,98.0,Normalized Match,4,space/punctuation-insensitive match; multiple raw forms for same canonical: AUNG LAN | Aung Lan,"""Aunglan"": [""Aung Lan""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,NYAUNGLEBIN,BAGO EAST,Nyaunglebin,Bago (East),99.0,Normalized Match,4,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: NYAUNGLEBIN | Nyaunglebin,"""Nyaunglebin"": [""NYAUNGLEBIN""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Pan Ta Naw,AYEYARWADDY,Pantanaw,Ayeyarwady,98.0,Normalized Match,4,space/punctuation-insensitive match; compact match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: Pan Ta Naw | Pantanaw,"""Pantanaw"": [""Pan Ta Naw""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,San Chaung,YANGON,Sanchaung,Yangon,98.0,Normalized Match,4,space/punctuation-insensitive match; multiple raw forms for same canonical: SAN CHAUNG | San Chaung,"""Sanchaung"": [""San Chaung""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Taung Gyi,SHAN,Taunggyi,Shan (South),98.0,Normalized Match,4,space/punctuation-insensitive match; multiple raw forms for same canonical: TAUNGGYI | Taung Gyi | Taunggyi,"""Taunggyi"": [""Taung Gyi""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YE,MON,Ye,Mon,99.0,Normalized Match,4,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YE | YE  | Ye,"""Ye"": [""YE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,CHAUNGZON,MON,Chaungzon,Mon,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: CHAUNGZON | Chaungzon,"""Chaungzon"": [""CHAUNGZON""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HLAINGBWE,KAYIN,Hlaingbwe,Kayin,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HLAINGBWE | HlaingBwe | Hlaingbwe,"""Hlaingbwe"": [""HLAINGBWE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HMAWBI,YANGON,Hmawbi,Yangon,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HMAWBI | Hmaw Bi | Hmawbi,"""Hmawbi"": [""HMAWBI""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,HPA-AN,KAYIN,Hpa-An,Kayin,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HPA-AN | Hpa An | Hpa-An | Hpa-An  | Hpa-an,"""Hpa-An"": [""HPA-AN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAUKTAGA,BAGO EAST,Kyauktaga,Bago (East),99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAUKTAGA | Kyauktaga,"""Kyauktaga"": [""KYAUKTAGA""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kan Gyi Daunt,AYEYARWADDY,Kangyidaunt,Ayeyarwady,98.0,Normalized Match,3,space/punctuation-insensitive match; compact match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: Kan Gyi Daunt | Kangyidaunt,"""Kangyidaunt"": [""Kan Gyi Daunt""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,LAUNGLON,TANINTHARYI,Launglon,Tanintharyi,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical:  Launglon | LAUNGLON | Launglon | Launglon ,"""Launglon"": [""LAUNGLON""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAYANGONE,YANGON,Mayangone,Yangon,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAYANGONE | Mayangone,"""Mayangone"": [""MAYANGONE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MINBU,MAGWAY,Minbu,Magway,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINBU | MinBu | Minbu,"""Minbu"": [""MINBU""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Min Hla,MAGWAY,Minhla,Magway,98.0,Normalized Match,3,space/punctuation-insensitive match; multiple raw forms for same canonical: MINHLA | Min Hla,"""Minhla"": [""Min Hla""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Myaung Mya,BAGO WEST,Myaungmya,Ayeyarwady,98.0,Normalized Match,3,space/punctuation-insensitive match; compact match but state mismatch or no canonical state match; raw state='BAGO WEST',"""Myaungmya"": [""Myaung Mya""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PAUK KHAUNG,BAGO WEST,Paukkhaung,Bago (West),98.0,Normalized Match,3,space/punctuation-insensitive match; multiple raw forms for same canonical: PAUK KHAUNG | Pauk Khaung | Paukkhaung | Phaukkhaung,"""Paukkhaung"": [""PAUK KHAUNG""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PHYU,BAGO EAST,Phyu,Bago (East),99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PHYU | Phyu,"""Phyu"": [""PHYU""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Sa Lin,MAGWAY,Salin,Magway,98.0,Normalized Match,3,space/punctuation-insensitive match; multiple raw forms for same canonical: SALIN | Sa Lin,"""Salin"": [""Sa Lin""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,myeik,TANINTHARYI,Myeik,Tanintharyi,99.0,Normalized Match,3,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: Myeik | myeik,"""Myeik"": [""myeik""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DAIK-U ,BAGO EAST,Daik-U,Bago (East),99.0,Normalized Match,2,leading/trailing whitespace; capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: DAIK-U  | Daik U | Daik-U,"""Daik-U"": [""DAIK-U""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Daik U,BAGO WEST,Daik-U,Bago (East),99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='BAGO WEST'; multiple raw forms for same canonical: DAIK-U  | Daik U | Daik-U,"""Daik-U"": [""Daik U""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAIKMARAW,MON,Kyaikmaraw,Mon,99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAIKMARAW | Kyaikmaraw | Kyaikmaraw ,"""Kyaikmaraw"": [""KYAIKMARAW""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAWLAMYINE,MON,Mawlamyine,Mon,99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAWLAMYINE | Mawlamyine,"""Mawlamyine"": [""MAWLAMYINE""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,MinBu,MAGWAY,Minbu,Magway,99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINBU | MinBu | Minbu,"""Minbu"": [""MinBu""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,MinHla,BAGO WEST,Minhla,Bago (West),99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MINHLA | Min Hla | MinHla | Minhla,"""Minhla"": [""MinHla""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PADAUNG,BAGO WEST,Padaung,Bago (West),99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PADAUNG | Padaung,"""Padaung"": [""PADAUNG""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PALAW,TANINTHARYI,Palaw,Tanintharyi,99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PALAW | Palaw,"""Palaw"": [""PALAW""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SAN CHAUNG,YANGON,Sanchaung,Yangon,98.0,Normalized Match,2,space/punctuation-insensitive match; multiple raw forms for same canonical: SAN CHAUNG | San Chaung,"""Sanchaung"": [""SAN CHAUNG""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGDWINGYI,MAGWAY,Taungdwingyi,Magway,99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGDWINGYI | Taungdwingyi,"""Taungdwingyi"": [""TAUNGDWINGYI""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGGYI,SHAN,Taunggyi,Shan (South),99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGGYI | Taung Gyi | Taunggyi,"""Taunggyi"": [""TAUNGGYI""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAUNGOO,BAGO EAST,Taungoo,Bago (East),99.0,Normalized Match,2,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAUNGOO | Taungoo,"""Taungoo"": [""TAUNGOO""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,AUNG LAN,MAGWAY,Aunglan,Magway,98.0,Normalized Match,1,space/punctuation-insensitive match; multiple raw forms for same canonical: AUNG LAN | Aung Lan,"""Aunglan"": [""AUNG LAN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DANUBYU,AYEYARWADDY,Danubyu,Ayeyarwady,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='AYEYARWADDY'; multiple raw forms for same canonical: DANUBYU | Danubyu,"""Danubyu"": [""DANUBYU""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,DAWEI,TANINTHARYI,Dawei,Tanintharyi,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: DAWEI | Dawei,"""Dawei"": [""DAWEI""]"
01_Data/Marketing/2026 Marketing Summary.xlsx,Sheet1,Township,HlaingBwe,Kayin,Hlaingbwe,Kayin,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: HLAINGBWE | HlaingBwe | Hlaingbwe,"""Hlaingbwe"": [""HlaingBwe""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KAWKAREIK,KAYIN,Kawkareik,Kayin,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KAWKAREIK | Kawkareik,"""Kawkareik"": [""KAWKAREIK""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,KYAUKPADAUNG,MANDALAY,Kyaukpadaung,Mandalay,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: KYAUKPADAUNG | Kyauk Pa Daung,"""Kyaukpadaung"": [""KYAUKPADAUNG""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Kyauk Pa Daung,MANDALAY,Kyaukpadaung,Mandalay,98.0,Normalized Match,1,space/punctuation-insensitive match; multiple raw forms for same canonical: KYAUKPADAUNG | Kyauk Pa Daung,"""Kyaukpadaung"": [""Kyauk Pa Daung""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MAGWAY,MAGWAY,Magway,Magway,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: MAGWAY | Magway,"""Magway"": [""MAGWAY""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,MYO THIT,MAGWAY,Myothit,Magway,98.0,Normalized Match,1,space/punctuation-insensitive match,"""Myothit"": [""MYO THIT""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PIN LAUNG,SHAN,Pinlaung,Shan (South),98.0,Normalized Match,1,space/punctuation-insensitive match; multiple raw forms for same canonical: PIN LAUNG | Pinlaung,"""Pinlaung"": [""PIN LAUNG""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,PYAWBWE,MANDALAY,Pyawbwe,Mandalay,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: PYAWBWE | Pyawbwe,"""Pyawbwe"": [""PYAWBWE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SALIN,MAGWAY,Salin,Magway,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: SALIN | Sa Lin,"""Salin"": [""SALIN""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,SEIK PHYU,MAGWAY,Seikphyu,Magway,98.0,Normalized Match,1,space/punctuation-insensitive match; multiple raw forms for same canonical: SEIK PHYU | Seikphyu,"""Seikphyu"": [""SEIK PHYU""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Shwe Bo,MANDALAY,Shwebo,Sagaing,98.0,Normalized Match,1,space/punctuation-insensitive match; compact match but state mismatch or no canonical state match; raw state='MANDALAY'; multiple raw forms for same canonical: Shwe Bo | Shwebo,"""Shwebo"": [""Shwe Bo""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Shwe Bo,SAGAING,Shwebo,Sagaing,98.0,Normalized Match,1,space/punctuation-insensitive match; multiple raw forms for same canonical: Shwe Bo | Shwebo,"""Shwebo"": [""Shwe Bo""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Sint Gaing,MANDALAY,Sintgaing,Mandalay,98.0,Normalized Match,1,space/punctuation-insensitive match,"""Sintgaing"": [""Sint Gaing""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TAIKKYI,YANGON,Taikkyi,Yangon,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: TAIKKYI | Taikkyi,"""Taikkyi"": [""TAIKKYI""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,TATKON,MANDALAY,Tatkon,Nay Pyi Taw,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; normalized match but state mismatch or no canonical state match; raw state='MANDALAY'; multiple raw forms for same canonical: TATKON | Tatkon,"""Tatkon"": [""TATKON""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,THATON,MON ,Thaton,Mon,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: THATON | Thaton,"""Thaton"": [""THATON""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,Tha Yet Chaung,TANINTHARYI,Thayetchaung,Tanintharyi,98.0,Normalized Match,1,space/punctuation-insensitive match,"""Thayetchaung"": [""Tha Yet Chaung""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YE ,MON,Ye,Mon,99.0,Normalized Match,1,leading/trailing whitespace; capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YE | YE  | Ye,"""Ye"": [""YE""]"
01_Data/Booking/KMMF3002 KMM Booking Data.2.xlsx,Data,Township,YEBYU,TANINTHARYI,Yebyu,Tanintharyi,99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: YEBYU | Yebyu,"""Yebyu"": [""YEBYU""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,nattalin,BAGO WEST,Nattalin,Bago (West),99.0,Normalized Match,1,capitalization/spaces/punctuation differ from canonical; multiple raw forms for same canonical: NATTALIN | Nattalin | nattalin,"""Nattalin"": [""nattalin""]"
01_Data/Sales/2026_KMM_CPI copy.xlsx,2026_KMM_DATA,Township,,,,,,Unmatched,160,blank Township value,
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Bago West Division,Gyobingauk,Bago (West),0.0,Unmatched,126,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West)),"""Gyobingauk"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Bago West Division,Letpadan,Bago (West),0.0,Unmatched,126,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West)),"""Letpadan"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Bago West Division,Minhla,Bago (West),0.0,Unmatched,126,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Gyobingauk (Bago (West)),"""Minhla"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Mon State,Bilin,Mon,0.0,Unmatched,101,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bilin (Mon),"""Bilin"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Mon State,Chaungzon,Mon,0.0,Unmatched,101,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bilin (Mon),"""Chaungzon"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,0,Mon State,Kyaikmaraw,Mon,0.0,Unmatched,101,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Bilin (Mon),"""Kyaikmaraw"": [""0""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-Hlegu,,Hlegu,Yangon,83.3,Unmatched,86,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlegu (Yangon),"""Hlegu"": [""03-Hlegu""]"
01_Data/Stock/2026_KMM_R2_STOCK.xlsx,02) STOCK,Location,03-Hlegu,,Shwegu,Kachin,61.5,Unmatched,86,no exact/normalized/current-alias match; fuzzy below 95; top suggestion Hlegu (Yangon),"""Shwegu"": [""03-Hlegu""]"
